State,Total,under 1,1-4,5-9,10-14,15-44,15-24,15-19,15-17,18-19,20-24,25-34,25-29,30-34,35-44,35-39,40-44,45-54,45-49,50-54,55-64,65-74,75-84,85 and over
Alabama,4530182,59756,236344,292801,316128,1899122,645382,318229,189504,128725,327153,602761,300119,302642,650979,305935,345044,647770,341358,306412,480302,325134,206655,66170
Alaska,655435,10150,39608,48733,55754,290899,107944,57482,33984,23498,50462,81152,38099,43053,101803,46640,55163,107304,56693,50611,61100,25540,12845,3502
Arizona,5743834,92222,357682,420550,432002,2446028,815599,401767,244804,156963,413832,830117,414435,415682,800312,389804,410508,718516,381210,337306,544763,395736,250449,85886
Arkansas,2752629,37667,147888,182877,191675,1141307,396261,195324,116443,78881,200937,360038,179647,180391,385008,180984,204024,375836,196970,178866,294273,205225,128039,47842
California,35893799,537777,2096195,2584130,2806697,15960947,5167790,2585790,1571664,1014126,2582000,5252511,2537285,2715226,5540646,2721630,2819016,4859899,2606091,2253808,3225197,1950085,1358859,514013
Colorado,4601403,67839,271240,315411,331182,2075749,649909,318813,193216,125597,331096,717276,349501,367775,708564,339971,368593,667808,355014,312794,421202,241492,153844,55636
Connecticut,3503604,42876,170172,228597,250231,1431468,457524,241182,146912,94270,216342,409393,189301,220092,564551,265174,299377,532418,287791,244627,374149,216602,175016,82075
Delaware,830364,11139,42642,50894,55794,354853,116721,55782,33037,22745,60939,110264,54408,55856,127868,60893,66975,118728,63861,54867,87353,57689,38013,13259
District of Columbia,553523,7497,27532,28099,30968,264188,73350,26129,15451,10678,47221,108471,58133,50338,82367,42121,40246,72469,36913,35556,55599,33918,23965,9288
Florida,17397161,219312,871980,1061574,1161262,6910220,2238486,1135101,689162,445939,1103385,2141920,1023708,1118212,2529814,1186936,1342878,2379993,1263510,1116483,1865237,1474943,1073068,379572
Georgia,8829383,138108,540956,622129,653061,4035908,1279920,625991,378313,247678,653929,1363671,653746,709925,1392317,686807,705510,1189191,639495,549696,802948,476571,275238,95273
Hawaii,1262840,18956,69803,76766,84042,516733,175374,84833,49126,35707,90541,161172,79373,81799,180187,85675,94512,186199,94670,91529,138333,79107,67557,25344
Idaho,1393262,21032,82450,99848,104940,597457,220875,108840,64141,44699,112035,184610,94080,90530,191972,90282,101690,193568,100711,92857,135272,83454,52763,22478
Illinois,12713634,179455,711090,878245,931463,5501619,1798262,892744,537897,354847,905518,1798489,873494,924995,1904868,915696,989172,1781548,951797,829751,1209585,760880,540362,219387
Indiana,6237569,86163,344394,437404,462582,2635903,902179,445489,269752,175737,456690,826275,412171,414104,907449,426746,480703,885589,469723,415866,613524,387698,279439,104873
Iowa,2954451,37571,143268,180254,196959,1225822,438789,210246,122385,87861,228543,369148,191783,177365,417885,190739,227146,436192,228122,208070,301246,202863,157903,72373
Kansas,2735502,38945,149837,182970,192669,1164602,418546,203322,119070,84252,215224,358503,184571,173932,387553,177740,209813,391802,208283,183519,260098,170134,129390,55055
Kentucky,4145922,54312,212302,265628,281055,1769037,579525,280929,166890,114039,298596,568050,280374,287676,621462,294923,326539,604969,318362,286607,439292,281310,178993,59024
Lousiana,4515770,67320,256671,307505,331550,1945045,705107,343717,201915,141802,361390,597755,307898,289857,642183,301282,340901,638876,338252,300624,441159,279555,187768,60321
Maine,1317253,13848,53780,72423,86127,530844,180402,93974,55951,38023,86428,145686,67697,77989,204756,93340,111416,215815,112300,103515,154665,95401,69259,25091
Maryland,5558058,75601,298977,368612,410324,2367913,762496,396044,241294,154750,366452,710846,332750,378096,894571,424108,470463,828546,443119,385427,573342,326012,225979,82752
Massachusetts,6416505,80202,315460,389361,425788,2762236,851425,419845,253378,166467,431580,880404,422702,457702,1030407,496979,533428,937102,501163,435939,652013,396084,322134,136125
Michigan,10112620,128830,521012,680248,758788,4261030,1441132,735634,444561,291073,705498,1305648,629259,676389,1514250,718214,796036,1496114,794860,701254,1020003,611860,459668,175067
Minnesota,5100958,68793,263231,327217,358094,2225526,753942,376683,222945,153738,377259,678479,332251,346228,793105,369404,423701,755001,404340,350661,487917,300115,216849,98215
Mississippi,2902966,42880,165474,199022,214508,1246930,450835,216248,127685,88563,234587,390743,200661,190082,405352,190716,214636,397288,210573,186715,283997,192518,120717,39632
Missouri,5754618,76771,294698,366904,401073,2430720,834405,413921,245096,168825,420484,751073,371581,379492,845242,389528,455714,826384,440608,385776,592376,391774,273539,100379
Montana,926865,10738,41772,53352,61601,374162,139679,70075,40630,29445,69604,106752,55388,51364,127731,55261,72470,152179,77913,74266,106512,66089,42227,18233
Nebraska,1747214,25787,96262,114520,122450,739951,266314,129578,75547,54031,136736,229273,117910,111363,244364,112058,132306,249266,130995,118271,167175,111352,84541,35910
Nevada,2334771,33226,135792,168168,172131,1014429,304130,153264,94279,58985,150866,354894,168926,185968,355405,176956,178449,309943,163954,145989,239003,154363,83716,24000
New Hampshire,1299500,14193,58485,80844,93694,544976,180056,94828,57778,37050,85228,148953,68148,80805,215967,99181,116786,209326,112594,96732,141310,78967,55982,21723
New Jersey,8698879,118575,462892,584949,627081,3617797,1106499,588185,362562,225623,518314,1095014,499332,595682,1416284,677734,738550,1275158,690607,584551,886286,543039,420294,162808
New Mexico,1903289,27176,106190,129210,141941,795601,293855,148377,87770,60607,145478,236003,118550,117453,265743,121188,144555,274815,142678,132137,198882,125938,76719,26817
New York,19227088,254293,991752,1213572,1331263,8232701,2606675,1297818,781483,516335,1308857,2633061,1274649,1358412,2992965,1449652,1543313,2740525,1453200,1287325,1970166,1226182,912751,353883
North Carolina,8541221,118874,481239,569753,602403,3705386,1174323,571969,346223,225746,602354,1241888,606862,635026,1289175,627308,661867,1174967,621243,553724,856350,555227,356382,120640
North Dakota,634366,7488,28266,36238,40293,269093,103335,47251,26670,20581,56084,80531,45145,35386,85227,37529,47698,96647,50605,46042,63170,42881,33877,16413
Ohio,11459011,146646,583389,746432,814421,4763799,1615986,814510,488324,326186,801476,1463849,712065,751784,1683964,791160,892804,1702423,903795,798628,1176985,746803,569680,208433
Oklahoma,3523553,50398,191842,228824,241321,1490991,532924,253465,147485,105980,279459,469658,241400,228258,488409,224482,263927,493104,260369,232735,362633,248728,161407,54305
Oregon,3594586,44962,181107,231554,246642,1515200,498550,245838,148092,97746,252712,505997,249329,256668,510653,244934,265719,536561,272098,264463,378739,226998,162925,69898
Pennsylvania,12406292,145759,573366,744856,851865,5000722,1706343,862053,521163,340890,844290,1471113,717202,753911,1823266,850049,973217,1868666,989006,879660,1324555,863525,742092,290886
Rhode Island,1080632,12240,49298,65376,73507,461277,155876,72181,43392,28789,83695,139077,70971,68106,166324,78945,87379,158607,84986,73621,109740,64536,59761,26290
South Carolina,4198068,56452,223820,270272,297231,1785011,605789,293851,176925,116926,311938,567993,282226,285767,611229,291132,320097,594321,309922,284399,450569,285700,175241,59451
South Dakota,770883,10855,40865,49801,54353,320282,121646,59998,35000,24998,61648,92803,48575,44228,105833,47216,58617,111415,58511,52904,73819,52355,39480,17658
Tennessee,5900962,78752,305952,372515,397391,2527354,812368,397441,236679,160762,414927,828111,402167,425944,886875,424085,462790,851796,448348,403448,629149,406536,247792,83725
Texas,22490022,378946,1463862,1683245,1731433,10083313,3409767,1682809,1009293,673516,1726958,3335725,1636551,1699174,3337821,1615422,1722399,2980767,1610437,1370330,1951846,1214359,756259,245992
Utah,2389039,48004,184789,202823,191106,1116933,426288,193506,113392,80114,232782,399210,231447,167763,291435,141481,149954,267626,143744,123882,170047,111479,70532,25700
Vermont,621394,6199,24982,34513,41719,254216,89561,45643,27481,18162,43918,69580,34286,35294,95075,42607,52468,104707,54317,50390,74296,40831,28453,11478
Virginia,7459827,100219,398167,481049,518625,3243323,1054889,517261,306840,210421,537628,1015092,491828,523264,1173342,558287,615055,1093331,581480,511851,778192,453281,291079,102561
Washington,6203788,76487,310916,399942,436191,2712268,897201,443543,262484,181059,453658,859190,414872,444318,955877,456645,499232,933435,490022,443413,631404,356583,243303,103259
West Virginia,1815354,20649,80460,101944,112639,720192,241755,116415,68949,47466,125340,226902,113888,113014,251535,117797,133738,284440,144048,140392,216676,144183,101636,32535
Wisconsin,5509026,68647,269663,343785,385343,2350492,815449,406851,240548,166303,408598,695516,349006,346510,839527,388464,451063,825917,438561,387356,549611,348889,255652,111027
Wyoming,506529,6600,24267,29832,33797,210119,79667,39033,22436,16597,40634,61297,31155,30142,69155,30478,38677,83938,43407,40531,56863,32949,20790,7374
